Year,Quarter,STATE,Production,In Bottles & Cans,In Kegs,"Tax-Determined,
Premises Use","For Export,
Vessels &
Aircraft","Consumed On
Brewery
Premises","Stocks On Hand
End-of-Month",Brewery Count
2015,Q1,Virginia,"2,897,515.89","2,389,787.36","238,568.69","6,860.25",,439.87,,155
2015,Q1,Washington,"138,240.44","41,046.50","71,277.20","8,208.89",507.51,"1,991.27","35,285.45",383
2015,Q1,West Virginia,"2,388.77",,"1,490.67",,0,,"1,163.28",17
2015,Q1,Wisconsin,"2,546,273.70","1,994,548.86",,"4,662.60","26,862.44",460.67,"749,653.60",189
2015,Q1,Wyoming,"4,600.66",,"2,610.36","1,036.63",0,,583.47,32
2015,Q2,Alabama,"8,620.18","3,208.30","3,616.83",816.69,0,,"2,509.76",30
2015,Q2,Alaska,"55,530.33",,"22,570.78","1,246.42",,267.95,"13,823.60",35
2015,Q2,Arizona,"39,672.69","10,825.13","19,462.44","7,686.85",0,442.54,"5,654.09",91
2015,Q2,Arkansas,"3,629.99",,"2,072.60","1,242.49",0,,"1,604.60",29
2015,Q2,California,"6,136,951.08","4,756,019.74","576,535.05","30,666.34",,"4,175.67","1,421,854.47",788
2015,Q2,Colorado,"6,000,146.64","4,862,867.54","545,859.11","29,361.31","105,365.27","5,425.87","1,510,819.86",352
2015,Q2,Connecticut,"45,410.19","21,297.23","11,168.75","3,678.21",,237.59,"13,547.41",59
2015,Q2,Delaware,,,,"1,407.23",0,,,21
2015,Q2,District of Columbia,"7,391.24",,,"2,140.11",0,,,13
2015,Q2,Florida,,,"313,285.68","9,027.97","12,870.90","2,364.60",,205
2015,Q2,Georgia,"4,232,288.72","3,559,531.79","117,690.79","4,524.96",,694.72,"892,567.93",54
2015,Q2,Hawaii,"10,923.32",,"5,861.42","1,016.87",,,"4,334.94",26
2015,Q2,Idaho,"12,513.14","4,022.83","4,322.15","1,810.44",0,,"5,012.42",57
2015,Q2,Illinois,"366,216.49","307,750.32","61,149.65","9,641.44",,483.84,"49,281.57",210
2015,Q2,Indiana,"44,033.99","13,673.62","17,197.29","9,010.14",0,572.87,"11,890.66",151
2015,Q2,Iowa,"11,742.48","1,924.01","4,301.49","4,068.03",0,15.05,"3,421.84",71
2015,Q2,Kansas,"9,284.67",,"1,944.61","1,486.30",0,242.98,"1,280.88",37
2015,Q2,Kentucky,"30,527.62","32,672.24","8,670.37","1,436.80",,,"25,943.41",48
2015,Q2,Louisiana,,,"20,427.15","1,442.16",,105.11,,25
2015,Q2,Maine,"83,268.64","35,494.70","30,228.90","3,804.75",0,259.14,"30,643.47",124
2015,Q2,Maryland,"55,737.53","27,706.15","15,656.10","4,990.19",,254.52,"21,933.55",73
2015,Q2,Massachusetts,"89,961.20","38,527.52","45,109.20","4,034.30",,438.01,"22,034.30",84
2015,Q2,Michigan,"270,683.79","142,925.17","91,907.68","13,292.16",,"1,439.85","73,004.71",316
2015,Q2,Minnesota,"156,825.39","88,780.15","39,691.60","9,129.70",0,183.36,"59,846.96",142
2015,Q2,Mississippi,"7,118.36",,,,0,,941.16,14
2015,Q2,Missouri,,,,"5,216.72",,731.11,,90
2015,Q2,Montana,"43,833.54","19,674.69","13,738.99","7,247.86",0,609.66,"14,203.94",74
2015,Q2,Nebraska,"7,022.97","2,721.16","2,642.92","1,564.30",,135.24,"1,522.97",39
2015,Q2,Nevada,"9,507.11",,"1,351.18","5,839.81",0,,"2,108.93",39
2015,Q2,New Jersey,,,,"4,482.34",,606.74,,71
2015,Q2,New Mexico,"21,104.35","7,525.83","6,720.66","3,883.85",0,,"4,680.46",71
2015,Q2,New York,"2,461,744.36","2,056,077.96","156,344.79","11,841.83","48,192.03",580.29,"682,398.28",329
2015,Q2,"New
Hampshire",,,"87,664.76","1,905.77",,192.41,,63
2015,Q2,North Carolina,,,,"11,071.81","12,774.18",829.54,,207
2015,Q2,North Dakota,"2,517.25",,,706.03,0,,"1,190.31",11
2015,Q2,Ohio,"5,608,516.34","4,776,698.69","405,848.44","7,596.02",,439.61,"1,025,213.65",187
2015,Q2,Oklahoma,"5,616.49",,"1,247.81","2,479.31",0,0,"1,994.23",21
2015,Q2,Oregon,"458,439.61","303,707.46","128,859.32","23,328.95","2,888.82","1,826.71","113,507.05",281
2015,Q2,Pennsylvania,"1,631,788.37","1,061,088.49","303,669.32","12,525.02",,707.64,"505,457.49",278
2015,Q2,Rhode Island,"3,667.30",,"1,239.18",,0,,807.68,15
2015,Q2,South Carolina,"18,986.55","7,294.75","5,826.40","3,065.17",,173.09,"4,482.50",51
2015,Q2,South Dakota,"1,627.57",,,471.53,0,,814.65,19
2015,Q2,Tennessee,"381,189.94","253,643.78","23,210.01","4,092.38",,"1,014.47","103,837.71",88
2015,Q2,Texas,"5,779,409.38","4,925,905.49","268,006.50","14,604.74","309,788.36","1,911.29","1,033,996.09",220
2015,Q2,Utah,"55,156.59","31,535.01","13,626.63",834.44,,,"13,149.92",29
2015,Q2,Vermont,"106,648.52","68,583.78","23,887.05","2,149.84",,,"19,253.42",66
2015,Q2,Virginia,"3,738,319.85","3,218,283.55","270,218.72","8,895.84",,552.3,,155
2015,Q2,Washington,"151,231.15","42,677.66","80,238.22","10,433.87",132.88,"2,127.18","34,091.07",383
2015,Q2,West Virginia,"2,466.39",,"1,573.56",780.31,0,0,928.75,17
2015,Q2,Wisconsin,"3,147,443.11","2,636,702.25",,"7,647.73","41,543.54",784.72,"767,837.29",189
2015,Q2,Wyoming,"4,359.99",,"1,875.61","1,382.04",0,,809.41,32
2015,Q3,Alabama,"8,261.81","3,023.44","2,641.89",987.23,,190.3,"3,588.29",30
2015,Q3,Alaska,"55,054.32",,"21,400.50","1,611.83",,348.41,"12,850.32",35
2015,Q3,Arizona,"37,524.94","11,626.68","15,523.75","6,682.08",0,206.17,"6,684.59",91
2015,Q3,Arkansas,"4,884.10",,"2,047.26","1,687.48",0,,"1,627.13",29
2015,Q3,California,"6,092,374.33","4,701,328.71","573,159.46","37,890.33",,"4,718.23","1,417,672.12",788
2015,Q3,Colorado,"5,790,712.40","4,862,085.69","527,900.66","36,679.90","118,486.75","6,833.63","1,314,955.49",352
2015,Q3,Connecticut,"42,557.87","23,276.63","10,656.26","4,005.59",0,196.83,"11,983.19",59
2015,Q3,Delaware,,,,"1,670.07",0,,,21
2015,Q3,District of Columbia,"7,174.57",,,"2,014.09",0,,,13
2015,Q3,Florida,,,"291,164.27","10,461.61","14,784.22","1,858.00",,205
2015,Q3,Georgia,"4,105,460.19","3,512,952.46","105,777.17","4,188.52",,"1,016.89","783,590.48",54
2015,Q3,Hawaii,"13,915.06",,"6,514.98","1,323.94",,,"4,627.54",26
2015,Q3,Idaho,"13,398.61","4,571.13","5,086.29","1,992.70",0,,"5,182.04",57
2015,Q3,Illinois,"349,630.80","288,943.46","53,700.65","13,160.48",,489.75,"57,109.21",210
2015,Q3,Indiana,"43,991.34","15,754.95","17,169.29","8,679.83",,482.69,"10,651.41",151
2015,Q3,Iowa,"13,402.10","1,920.16","4,968.85","5,570.59",0,69.78,"3,635.86",71
2015,Q3,Kansas,"10,766.15",,"2,333.76","1,433.57",0,213.66,"1,542.79",37
2015,Q3,Kentucky,"28,103.08","28,135.37","8,456.56","1,850.19",,,"20,669.08",48
2015,Q3,Louisiana,,,"15,379.80","1,531.61",,,,25
2015,Q3,Maine,"91,036.43","45,490.45","38,309.12","5,718.48",0,322.28,"29,224.93",124
2015,Q3,Maryland,"64,153.50","29,596.33","17,365.35","5,377.94",,379.08,"21,679.08",73
2015,Q3,Massachusetts,"94,208.07","41,388.09","42,291.70","5,712.27",,,"22,330.99",84
2015,Q3,Michigan,"276,688.48","154,211.44","84,254.42","15,897.62","3,312.93","1,430.63","70,674.76",316
2015,Q3,Minnesota,"160,007.93","86,877.61","42,602.04","11,794.55",0,314.39,"56,821.73",142
2015,Q3,Mississippi,"6,436.01",,,"1,825.93",0,,"1,058.71",14
2015,Q3,Missouri,,,,"4,914.62",,584.83,,90
2015,Q3,Montana,"47,180.08","19,078.21","14,866.09","8,823.86",0,699.33,"14,197.59",74
2015,Q3,Nebraska,"9,155.40","3,706.24","3,411.09","1,566.19",,,"2,013.79",39
2015,Q3,Nevada,"9,809.31",,"1,310.42","5,408.45",0,,"2,213.77",39
2015,Q3,New Jersey,,,,"5,733.80",,639.01,,71
2015,Q3,New Mexico,"22,592.63","8,922.59","6,728.54","3,623.99",0,338.7,"5,269.87",71
2015,Q3,New York,"2,400,760.91","1,960,538.68","174,079.68","8,003.62","37,626.94",672.24,"656,706.06",329
2015,Q3,"New
Hampshire",,,,"2,413.92",,131.1,,63
2015,Q3,North Carolina,,,,"15,738.80","17,932.38",727.54,,207
2015,Q3,North Dakota,"2,470.16",,,738.25,0,,"1,307.48",11
2015,Q3,Ohio,"5,484,194.80","4,771,683.40","435,986.45","8,171.80",,471.7,"971,037.16",187
2015,Q3,Oklahoma,"5,873.32",,"1,070.78","3,800.23",0,,"1,952.73",21
2015,Q3,Oregon,"461,135.24","279,637.58","135,506.73","26,981.48","2,269.47","1,925.42","123,184.48",281
2015,Q3,Pennsylvania,"1,668,441.45","1,188,127.95","302,644.18","12,191.71",,888.91,"455,123.01",278
2015,Q3,Rhode Island,"2,798.61",,,242,0,,503.92,15
2015,Q3,South Carolina,"16,355.21","6,162.55","4,714.84","3,373.65",,139.36,"5,093.57",51
2015,Q3,South Dakota,"2,107.51",,"1,070.45",498.5,0,,812.28,19
2015,Q3,Tennessee,"449,522.52","309,947.40","24,394.66","5,855.66",,"1,070.74","137,413.88",88
2015,Q3,Texas,"5,537,416.75","4,752,254.48","248,077.18","19,507.95",,"2,159.39","928,966.00",220
2015,Q3,Utah,"57,655.62","35,723.33","15,199.36","1,218.63",,,"13,230.72",29
2015,Q3,Vermont,"107,142.20","69,269.83","22,620.30","3,156.24",,,"20,749.73",66
2015,Q3,Virginia,"3,628,426.14","3,270,887.65","272,829.76","10,252.78",,429.85,"547,444.04",155
2015,Q3,Washington,"161,505.20","47,613.41","79,562.43","13,230.01",221.47,"1,573.52","32,918.21",383
2015,Q3,West Virginia,"3,351.97",,"2,008.35","1,123.28",0,38.2,"1,078.75",17
2015,Q3,Wisconsin,"2,858,422.64","2,443,412.81","242,657.50","10,691.78","34,392.51",541.39,"685,380.44",189
2015,Q3,Wyoming,"6,683.40",,"3,093.06","1,726.94",0,,"1,029.95",32
2015,Q4,Alabama,"8,296.70","1,563.15","1,988.73","3,694.34",0,,"3,682.96",30
2016,Q4,Alabama,,,,,,,,37
2017,Q4,Alabama,,,,,,,,52
2018,Q4,Alabama,,,,,,,,55
2019,Q4,Alabama,"16,748.42",,"2,018.10","11,198.69",0,182.2,"7,019.71",66
2020,Q4,Alabama,"13,005.07","4,348.71","1,741.80","8,006.87",0,,"4,586.27",68
2021,Q4,Alabama,"15,157.27",,"1,619.76","10,511.60",0,,"5,473.95",77
2022,Q4,Alabama,"11,228.97","1,991.12","1,368.60","8,264.51",0,,"7,021.40",84
2015,Q4,Alaska,"43,116.35",,"14,940.73","1,036.10",0,165.92,"9,840.98",35
2016,Q4,Alaska,,,,,,,,36
2017,Q4,Alaska,,,,,,,,45
2018,Q4,Alaska,,,,,,,,51
2019,Q4,Alaska,"37,425.85",,,"7,492.56",0,154.92,"9,342.75",59
2020,Q4,Alaska,"35,670.97",,"4,488.40","8,910.81",0,137.93,"15,804.69",66
2021,Q4,Alaska,"29,156.71",,"7,532.30","8,098.40",0,112.18,"9,209.29",72
2022,Q4,Alaska,"32,322.10",,"7,575.60","9,564.75",0,152.36,"16,166.61",75
2015,Q4,Arizona,"41,834.00","13,032.13","18,899.73","8,439.75",0,360.14,"5,317.22",91
2016,Q4,Arizona,,,,,,,,110
2017,Q4,Arizona,,,,,,,,130
2018,Q4,Arizona,,,,,,,,146
2019,Q4,Arizona,"91,700.29",,"31,358.57","13,110.69",0,557.77,"38,945.33",157
2020,Q4,Arizona,"325,202.53","107,269.07","18,503.06","10,289.71",0,572.44,"292,456.54",170
2021,Q4,Arizona,"417,452.48","441,772.70","22,590.68","13,869.60",0,757.06,"165,716.64",179
2022,Q4,Arizona,,,"12,938.28","13,164.12",0,620.94,"280,657.88",184
2015,Q4,Arkansas,"3,646.98","1,059.39","2,600.85",428.45,0,,"1,633.30",29
2016,Q4,Arkansas,,,,,,,,34
2017,Q4,Arkansas,,,,,,,,44
2018,Q4,Arkansas,,,,,,,,53
2019,Q4,Arkansas,"9,892.54",,,"5,282.70",0,40.29,"2,945.10",58
2020,Q4,Arkansas,"8,974.46",,,"4,973.02",0,29.77,"3,294.05",70
2021,Q4,Arkansas,"9,393.53",,,"6,961.29",0,,"3,966.02",76
2022,Q4,Arkansas,"12,355.19",,,"7,981.95",0,,"5,552.24",82
2015,Q4,California,"5,287,302.59","4,099,960.91","530,349.90","38,457.85",,"3,845.14","1,311,088.84",788
2016,Q4,California,,,,,,,,927
2017,Q4,California,,,,,,,,1106
2018,Q4,California,,,,,,,,1236
2019,Q4,California,"4,395,137.83","3,406,505.43","480,020.06","108,777.08",,"2,583.51","1,179,172.13",1370
2020,Q4,California,"3,247,904.00","2,731,209.05","147,703.18","111,637.00",,"1,546.00","990,516.93",1465
2021,Q4,California,"3,239,193.00","2,668,943.60","289,636.60","117,560.00",,"5,238.67","1,098,112.55",1524
2022,Q4,California,"3,188,829.36","2,421,410.07","287,465.96","119,171.94","85,814.44","2,507.40","1,050,341.63",1571
2015,Q4,Colorado,"4,776,326.44","3,965,416.79","469,701.71","33,180.41","77,500.53","3,087.07","1,168,437.63",352
2016,Q4,Colorado,,,,,,,,386
2017,Q4,Colorado,,,,,,,,448
2018,Q4,Colorado,,,,,,,,500
2019,Q4,Colorado,"4,796,287.60","4,180,189.46","369,080.86","40,197.46",,"2,159.91","1,339,529.90",544
2020,Q4,Colorado,"4,632,562.00","4,207,494.90","179,920.43","36,032.00","9,165.71","1,299.55","1,654,997.55",561
2021,Q4,Colorado,"4,991,461.00","4,448,101.69","344,761.05","45,539.00","3,276.45","2,537.28","1,470,633.74",586
2022,Q4,Colorado,"4,653,417.96","3,859,903.09","348,084.42","39,697.74",,"2,373.84","1,494,241.55",614
2015,Q4,Connecticut,"36,335.65","20,356.58","8,676.92","3,515.25",0,223.73,"11,500.14",59
2016,Q4,Connecticut,,,,,,,,76
2017,Q4,Connecticut,,,,,,,,103
2016,Q1,Alabama,,,,,,,,37
2016,Q1,Alaska,,,,,,,,36
2016,Q1,Arizona,,,,,,,,110
2016,Q1,Arkansas,,,,,,,,34
2016,Q1,California,,,,,,,,927
2016,Q1,Colorado,,,,,,,,386
2016,Q1,Connecticut,,,,,,,,76
2016,Q1,Delaware,,,,,,,,25
2016,Q1,District of Columbia,,,,,,,,13
2016,Q1,Florida,,,,,,,,264
2016,Q1,Georgia,,,,,,,,69
2016,Q1,Hawaii,,,,,,,,23
2016,Q1,Idaho,,,,,,,,67
2016,Q1,Illinois,,,,,,,,244
2016,Q1,Indiana,,,,,,,,163
2016,Q1,Iowa,,,,,,,,94
2016,Q1,Kansas,,,,,,,,47
2016,Q1,Kentucky,,,,,,,,60
2016,Q1,Louisiana,,,,,,,,34
2016,Q1,Maine,,,,,,,,146
2016,Q1,Maryland,,,,,,,,88
2016,Q1,Massachusetts,,,,,,,,102
2016,Q1,Michigan,,,,,,,,379
2016,Q1,Minnesota,,,,,,,,165
2016,Q1,Mississippi,,,,,,,,14
2016,Q1,Missouri,,,,,,,,116
2016,Q1,Montana,,,,,,,,79
2016,Q1,Nebraska,,,,,,,,47
2016,Q1,Nevada,,,,,,,,44
2016,Q1,New Jersey,,,,,,,,96
2016,Q1,New Mexico,,,,,,,,86
2016,Q1,New York,,,,,,,,394
2016,Q1,"New
Hampshire",,,,,,,,73
2016,Q1,North Carolina,,,,,,,,260
2016,Q1,North Dakota,,,,,,,,15
2016,Q1,Ohio,,,,,,,,236
2016,Q1,Oklahoma,,,,,,,,26
2016,Q1,Oregon,,,,,,,,304
2016,Q1,Pennsylvania,,,,,,,,333
2016,Q1,Rhode Island,,,,,,,,17
2016,Q1,South Carolina,,,,,,,,59
2016,Q1,South Dakota,,,,,,,,21
2016,Q1,Tennessee,,,,,,,,101
2016,Q1,Texas,,,,,,,,266
2016,Q1,Utah,,,,,,,,34
2016,Q1,Vermont,,,,,,,,73
2016,Q1,Virginia,,,,,,,,209
2016,Q1,Washington,,,,,,,,424
2016,Q1,West Virginia,,,,,,,,24
2016,Q1,Wisconsin,,,,,,,,217
2016,Q1,Wyoming,,,,,,,,33
2016,Q2,Alabama,,,,,,,,37
2016,Q2,Alaska,,,,,,,,36
2016,Q2,Arizona,,,,,,,,110
2016,Q2,Arkansas,,,,,,,,34
2016,Q2,California,,,,,,,,927
2016,Q2,Colorado,,,,,,,,386
2016,Q2,Connecticut,,,,,,,,76
2016,Q2,Delaware,,,,,,,,25
2016,Q2,District of Columbia,,,,,,,,13
2016,Q2,Florida,,,,,,,,264
2016,Q2,Georgia,,,,,,,,69
2016,Q2,Hawaii,,,,,,,,23
2016,Q2,Idaho,,,,,,,,67
2016,Q2,Illinois,,,,,,,,244
2016,Q2,Indiana,,,,,,,,163
2016,Q2,Iowa,,,,,,,,94
2016,Q2,Kansas,,,,,,,,47
2016,Q2,Kentucky,,,,,,,,60
2016,Q2,Louisiana,,,,,,,,34
2016,Q2,Maine,,,,,,,,146
2016,Q2,Maryland,,,,,,,,88
2016,Q2,Massachusetts,,,,,,,,102
2016,Q2,Michigan,,,,,,,,379
2016,Q2,Minnesota,,,,,,,,165
2016,Q2,Mississippi,,,,,,,,14
2016,Q2,Missouri,,,,,,,,116
2016,Q2,Montana,,,,,,,,79
2016,Q2,Nebraska,,,,,,,,47
2016,Q2,Nevada,,,,,,,,44
2016,Q2,New Jersey,,,,,,,,96
2016,Q2,New Mexico,,,,,,,,86
2016,Q2,New York,,,,,,,,394
2016,Q2,"New
Hampshire",,,,,,,,73
2016,Q2,North Carolina,,,,,,,,260
2016,Q2,North Dakota,,,,,,,,15
2016,Q2,Ohio,,,,,,,,236
2016,Q2,Oklahoma,,,,,,,,26
2016,Q2,Oregon,,,,,,,,304
2016,Q2,Pennsylvania,,,,,,,,333
2016,Q2,Rhode Island,,,,,,,,17
2016,Q2,South Carolina,,,,,,,,59
2016,Q2,South Dakota,,,,,,,,21
2016,Q2,Tennessee,,,,,,,,101
2016,Q2,Texas,,,,,,,,266
2016,Q2,Utah,,,,,,,,34
2016,Q2,Vermont,,,,,,,,73
2016,Q2,Virginia,,,,,,,,209
2016,Q2,Washington,,,,,,,,424
2016,Q2,West Virginia,,,,,,,,24
2016,Q2,Wisconsin,,,,,,,,217
2016,Q2,Wyoming,,,,,,,,33
2016,Q3,Alabama,,,,,,,,37
2016,Q3,Alaska,,,,,,,,36
2016,Q3,Arizona,,,,,,,,110
2016,Q3,Arkansas,,,,,,,,34
2016,Q3,California,,,,,,,,927
2016,Q3,Colorado,,,,,,,,386
2016,Q3,Connecticut,,,,,,,,76
2016,Q3,Delaware,,,,,,,,25
2016,Q3,District of Columbia,,,,,,,,13
2016,Q3,Florida,,,,,,,,264
2016,Q3,Georgia,,,,,,,,69
2016,Q3,Hawaii,,,,,,,,23
2016,Q3,Idaho,,,,,,,,67
2016,Q3,Illinois,,,,,,,,244
2016,Q3,Indiana,,,,,,,,163
2016,Q3,Iowa,,,,,,,,94
2016,Q3,Kansas,,,,,,,,47
2016,Q3,Kentucky,,,,,,,,60
2016,Q3,Louisiana,,,,,,,,34
2016,Q3,Maine,,,,,,,,146
2016,Q3,Maryland,,,,,,,,88
2016,Q3,Massachusetts,,,,,,,,102
2016,Q3,Michigan,,,,,,,,379
2016,Q3,Minnesota,,,,,,,,165
2016,Q3,Mississippi,,,,,,,,14
2016,Q3,Missouri,,,,,,,,116
2016,Q3,Montana,,,,,,,,79
2016,Q3,Nebraska,,,,,,,,47
2016,Q3,Nevada,,,,,,,,44
2016,Q3,New Jersey,,,,,,,,96
2016,Q3,New Mexico,,,,,,,,86
2016,Q3,New York,,,,,,,,394
2016,Q3,"New
Hampshire",,,,,,,,73
2016,Q3,North Carolina,,,,,,,,260
2016,Q3,North Dakota,,,,,,,,15
2016,Q3,Ohio,,,,,,,,236
2016,Q3,Oklahoma,,,,,,,,26
2016,Q3,Oregon,,,,,,,,304
2016,Q3,Pennsylvania,,,,,,,,333
2016,Q3,Rhode Island,,,,,,,,17
2016,Q3,South Carolina,,,,,,,,59
2016,Q3,South Dakota,,,,,,,,21
2016,Q3,Tennessee,,,,,,,,101
2016,Q3,Texas,,,,,,,,266
2016,Q3,Utah,,,,,,,,34
2016,Q3,Vermont,,,,,,,,73
2016,Q3,Virginia,,,,,,,,209
2016,Q3,Washington,,,,,,,,424
2016,Q3,West Virginia,,,,,,,,24
2016,Q3,Wisconsin,,,,,,,,217
2016,Q3,Wyoming,,,,,,,,33
2018,Q4,Connecticut,,,,,,,,124
2019,Q4,Connecticut,"48,876.99","23,842.88","8,625.68","9,972.10",,735.76,"23,631.01",149
2020,Q4,Connecticut,"45,260.92","26,763.90","3,949.28","10,504.83",,291.39,"20,439.38",162
2021,Q4,Connecticut,"49,684.40","26,670.77","6,646.53","12,549.76",0,307.7,"19,504.23",172
2022,Q4,Connecticut,"38,838.43","22,321.83","5,083.19","12,491.42",,131.53,"20,583.79",176
2015,Q4,Delaware,,,,"2,229.43",0,,,21
2016,Q4,Delaware,,,,,,,,25
2017,Q4,Delaware,,,,,,,,33
2018,Q4,Delaware,,,,,,,,38
2019,Q4,Delaware,,,,"3,131.73",0,,,43
2020,Q4,Delaware,,,,"2,436.80",0,,,47
2021,Q4,Delaware,,,,"4,914.11",0,,,51
2022,Q4,Delaware,,,,"4,325.39",,407.56,,54
2015,Q4,District of Columbia,"6,712.96",,,"1,341.77",0,,,13
2016,Q4,District of Columbia,,,,,,,,13
2017,Q4,District of Columbia,,,,,,,,13
2018,Q4,District of Columbia,,,,,,,,13
2020,Q4,District of Columbia,"8,718.56",,,"5,861.98",0,,"4,917.71",17
2021,Q4,District of Columbia,"10,744.00",,,"6,874.00",0,,"4,087.54",19
2022,Q4,District of Columbia,"9,666.09",,,"5,945.59",0,0,,21
2019,Q4,"District of
Columbia","7,588.81",,,"4,514.76",0,0,"3,203.62",15
2015,Q4,Florida,,,"301,028.84","12,105.47","14,489.54","2,212.47",,205
2016,Q4,Florida,,,,,,,,264
2017,Q4,Florida,,,,,,,,338
2018,Q4,Florida,,,,,,,,386
2019,Q4,Florida,,,"283,927.73","47,731.19",,"1,334.30","498,001.31",464
2020,Q4,Florida,,,"219,708.44","42,078.78",,"1,466.36","548,665.60",500
2021,Q4,Florida,,,"234,913.31","50,226.00",,"1,887.38","517,618.25",531
2022,Q4,Florida,,,"243,686.35","45,426.13",,"1,310.89","492,518.76",571
2015,Q4,Georgia,"3,651,840.30","2,939,211.21","110,395.65","6,837.25",,792.53,"785,029.82",54
2016,Q4,Georgia,,,,,,,,69
2017,Q4,Georgia,,,,,,,,102
2018,Q4,Georgia,,,,,,,,121
2019,Q4,Georgia,"3,110,370.93","2,772,785.40","111,661.39","17,359.30",,684.7,"731,419.22",158
2020,Q4,Georgia,"3,372,964.84","2,900,471.54","78,403.28","23,223.49",,540.45,"777,601.28",186
