Jurisdiction,Postal Code,FIPS Code,Policies as of,Control,Specific Excise Tax Per Gallon for 5% Alcohol,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Wholesale Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Retail Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Does Not Apply,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Adjusted Retail Ad Valorem Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Wholesale Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Retail Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Does Not Apply,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Adjusted Retail Ad Valorem Rate,Additional Taxes for 3.2-6% Alcohol,Notes,Citations Count,Citations,Juris Note,Row Note
Alaska,AK,02,1/1/2022,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2023,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Arizona,AZ,04,1/1/2010,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2011,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2012,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2013,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2014,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2015,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2016,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2017,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2018,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2019,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2020,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2021,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2022,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arizona,AZ,04,1/1/2023,0,$0.16,,,0,,,,,0,,,,,2 Citations,"CS: Ariz. Rev. Stat. § 42-3001

CS: Ariz. Rev. Stat. § 42-3052",,
Arkansas,AR,05,1/1/2010,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,10 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2011,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,10 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2012,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2013,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2014,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2015,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2016,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2017,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2018,0,$0.24,,,0,,,,0.01,0,,0.01,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2019,0,$0.24,,,0,,,,0.01,0,,0.01,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2020,0,$0.24,,,0,,,,0.01,0,,0.01,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2021,0,$0.24,,,0,,,,0.01,0,,0.01,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2022,0,$0.24,,,0,,,,0.01,0,,0.01,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
Arkansas,AR,05,1/1/2023,0,$0.24,,,0,,,,1.00%,0,,1.00%,,,11 Citations,"EB: 2005 Ark. Acts 2188

EB: 2007 Ark. Acts 869

EB: 2011 Ark. Acts 982, § 2

CS: Ark. Code Ann. § 3-1-102

CS: Ark. Code Ann. § 3-7-104

CS: Ark. Code Ann. § 3-7-111

CS: Ark. Code Ann. § 3-7-201

CS: Ark. Code Ann. § 3-9-202

CS: Ark. Code Ann. § 3-9-223

CS: Ark. Code Ann. § 26-52-306

CR: Ark. Admin. Code § 006.05.212-GR-26",,
California,CA,06,1/1/2010,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2011,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2012,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2013,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2014,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2015,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2016,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2017,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2018,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2019,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2020,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2021,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2022,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
California,CA,06,1/1/2023,0,$0.20,,,0,,,,,0,,,,,4 Citations,"CS: Cal. Bus. & Prof. Code § 23004

CS: Cal. Bus. & Prof. Code § 23006

CS: Cal. Rev. & Tax. Code § 32151

CS: Cal. Rev. & Tax. Code § 32220",,
Colorado,CO,08,1/1/2010,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2011,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2012,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2013,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2014,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2015,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2016,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2017,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2018,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2019,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2020,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2021,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2022,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Colorado,CO,08,1/1/2023,0,$0.08,,,0,,,,,0,,,,,3 Citations,"EB: 2018 Colo. Sess. Laws 152, § 2

CS: Colo. Rev. Stat. § 44-4-103

CS: Colo. Rev. Stat. § 44-3-503

CS: Colo. Rev. Stat. § 12-47-103

CS: Colo. Rev. Stat. § 12-47-503

CS: Colo. Rev. Stat. § 12-46-103",,
Connecticut,CT,09,1/1/2010,0,$0.20,,,0,,,,,0,,,,"Row Note: 

            Connecticut imposes a tax of $6.00 per barrel, defined as “not less than twenty-eight nor more than thirty-one gallons,” and $0.20 per wine gallon or fraction thereof on quantities less than a quarter barrel.  APIS reports the tax rate on 12 oz. bottles and therefore displays the rate as $0.20 per gallon.",2 Citations,"CS: Conn. Gen. Stat. § 12-435

CS: Conn. Gen. Stat. § 12-433",,"Connecticut imposes a tax of $6.00 per barrel, defined as “not less than twenty-eight nor more than thirty-one gallons,” and $0.20 per wine gallon or fraction thereof on quantities less than a quarter barrel.  APIS reports the tax rate on 12 oz. bottles and therefore displays the rate as $0.20 per gallon."
